APT;APT_NOM;APT_ZON;APT_PEQ
FMCZ;MAYOTTE-MARCEL HENRY;OM;48337
FMEE;LA REUNION-ROLAND GARROS;OM;315566
LFBA;AGEN-LA GARENNE;MT;1038
LFBD;BORDEAUX-MERIGNAC;MT;484596
LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;5124
LFBH;LA ROCHELLE-ILE DE RE;MT;7271
LFBI;POITIERS-BIARD;MT;3946
LFBL;LIMOGES-BELLEGARDE;MT;13094
LFBO;TOULOUSE-BLAGNAC;MT;637348
LFBP;PAU-PYRENEES;MT;25485
LFBT;TARBES-LOURDES-PYRENEES;MT;28797
LFBU;ANGOULEME-BRIE-CHAMPNIERS;MT;3685
LFBV;BRIVE-LA-ROCHE;MT;1474
LFBX;PERIGUEUX-BASSILLAC;MT;1009
LFBZ;BIARRITZ-PAYS-BASQUE;MT;45027
LFCI;ALBI-LE SEQUESTRE;MT;1090
LFCR;RODEZ-AVEYRON;MT;3062
LFKB;BASTIA-PORETTA;MT;87556
LFKC;CALVI-STE-CATHERINE;MT;11241
LFKF;FIGARI-SUD-CORSE;MT;18197
LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;81023
LFLB;CHAMBERY-AIX-LES-BAINS;MT;15420
LFLC;CLERMONT-FERRAND-AUVERGNE;MT;20336
LFLL;LYON-ST-EXUPERY;MT;825210
LFLP;ANNECY-MEYTHET;MT;1043
LFLS;GRENOBLE-ALPES-ISERE;MT;39717
LFLX;CHATEAUROUX-DEOLS;MT;1767
LFMH;ST-ETIENNE-LOIRE;MT;8867
LFML;MARSEILLE-PROVENCE;MT;792797
LFMN;NICE-COTE D'AZUR;MT;886516
LFMP;PERPIGNAN-RIVESALTES;MT;30395
LFMT;MONTPELLIER-MEDITERRANEE;MT;136797
LFMU;BEZIERS-VIAS;MT;8462
LFMV;AVIGNON-CAUMONT;MT;1268
LFOB;BEAUVAIS-TILLE;MT;499322
LFOH;LE HAVRE-OCTEVILLE;MT;1022
LFOP;ROUEN-VALLEE DE SEINE;MT;1226
LFOT;TOURS-VAL DE LOIRE;MT;12531
LFPG;PARIS-CHARLES DE GAULLE;MT;7262781
LFPO;PARIS-ORLY;MT;2499626
LFQQ;LILLE-LESQUIN;MT;134065
LFRB;BREST-BRETAGNE;MT;62813
LFRC;CHERBOURG-MAUPERTUS;MT;1118
LFRD;DINARD-PLEURTUIT-ST-MALO;MT;1113
LFRH;LORIENT-LANN-BIHOUE;MT;1231
LFRK;CAEN-CARPIQUET;MT;27615
LFRN;RENNES-ST-JACQUES;MT;50225
LFRO;LANNION;MT;1203
LFRQ;QUIMPER-PLUGUFFAN;MT;2656
LFRS;NANTES-ATLANTIQUE;MT;459213
